id,Text mainly in Swedish,On Topic,Informative/relevant/non sarcastic,Contains specific information about IMPACTS
907372528888360960,1,0,0,0
907365338072875010,0,0,0,0
907355863568003074,0,0,0,0
907348037630132225,1,0,0,0
907339401776308224,0,0,0,0
907329249534779393,0,0,0,0
907327837534871552,1,0,0,0
907320529744531456,1,0,0,0
907316818536267776,1,1,0,0
907315054151962629,1,1,1,0
907313952564051974,0,0,0,0
907310589294325760,0,0,0,0
907301418108903425,1,0,0,0
907301025647906821,1,0,0,0
907292588226568193,1,0,0,0
907291435161890816,1,1,0,0
907281930718150656,1,1,0,0
907280088751857664,1,1,1,0
907279142902751236,1,0,0,0
907277764314718208,0,1,0,0
907276664987701249,1,1,1,0
907276114271375360,1,0,0,0
907275501152202752,1,0,0,0
907272894056628226,0,0,0,0
907268607016566785,1,0,0,0
907266396995964928,1,0,0,0
907262855287844866,1,0,0,0
907260174821404672,1,0,0,0
907258228047798272,1,0,0,0
907251711907123202,1,1,0,1
907249999553159168,1,1,0,0
907245892608159744,1,0,0,0
907244275418759168,1,1,0,0
907241301070020610,1,0,0,0
907229502664830977,1,1,0,0
907228005151465472,1,0,0,0
907217411891331076,1,0,0,0
907216307321491456,1,1,1,0
907210482943176704,1,1,1,0
907197471339794434,1,1,1,0
907179119292674050,0,0,0,0
907176760554422274,0,0,0,0
907174754825666560,1,0,0,0
907169643898572800,1,1,0,0
907168859228135424,1,1,0,0
907167796085366784,1,0,0,0
907157072621469696,1,1,1,0
907153691064639488,0,1,1,0
907152797795221505,1,0,0,0
907151183290224640,1,1,0,0
907136455566340096,0,0,0,0
907131957250727936,0,0,0,0
907128844431237120,1,1,0,0
907123196159242240,1,1,1,0
907117776531283968,1,0,0,0
907116790093938688,1,1,0,0
907112654157819904,,,,,
907089158975508480,1,1,0,0
907076144410787840,1,1,1,0
907044532767936514,1,1,0,0
907010395180806150,1,1,0,0
907008049461776385,1,0,0,0
906996567688847360,1,1,0,0
906996012732084226,0,0,0,0
906992161769627650,1,1,0,0
906985743914061826,1,0,0,0
906982016440311810,1,1,1,1
906978665921171456,1,0,0,0
906967383948058624,1,0,0,0
906966288832090115,1,1,1,1
906957503665246208,1,1,0,0
906953743312310272,1,0,0,0
906952830564610049,1,1,1,0
906952264904003584,1,1,1,1
906949376077123585,1,1,0,0
906941476491448320,1,0,0,0
906939243284635648,1,1,1,1
906931849582206977,1,1,0,0
906931716438331398,1,0,0,0
906928757637881856,1,0,0,0
906928473540669440,1,0,0,0
906923234775494656,1,1,0,0
906922949441093633,1,1,1,1
906922190054019073,1,1,1,1
906919570878984192,1,1,1,0
906916782870495233,1,0,0,0
906908884052451329,1,0,0,0
906903328487067649,1,1,1,1
906902078613794816,1,1,1,1
906901903841394689,1,1,1,1
906899530624507911,1,1,1,1
906894252134858752,1,1,0,0
906894241938493441,0,0,0,0
906894235466596352,1,1,1,1
906892870501707777,1,1,0,0
906890612946997248,1,1,0,0
906887710769651714,1,1,1,1
906886853802041347,1,1,0,0
906886017424261120,1,1,0,0
906884956827340800,1,1,1,1
1439007206591148037,0,0,0,,
1439003735980756995,1,0,0,,
1439002921413320711,1,0,0,,
1438989066515664902,1,0,0,,
1438984260149563402,1,0,0,,
1438974144801132545,1,0,0,,
1438970755283361793,1,0,0,,
1438970052817166341,1,0,0,,
1438959012880556040,1,1,0,,
1438953366021869569,1,0,0,,
1438947573021253633,1,0,0,,
1438933421296869376,1,0,0,,
1438929210714869767,1,1,0,,
1438927856650833921,1,1,1,,
1438922305418235908,1,1,1,,
1438921703602724873,1,1,1,,
1438921385221492736,1,1,1,,
1438919697848799237,0,0,0,,
1438916024515051525,1,1,1,,
1438913425191624718,0,0,0,,
1438902897794760705,1,0,0,,
1438897884930494472,1,0,0,,
1438895332784582663,1,1,0,,
1438892798799908866,1,1,0,,
1438877553029222402,0,1,0,,
1438873868752596993,1,0,0,,
1438871142182363142,1,1,0,,
1438863975622619137,1,1,0,,
1438863306626842625,1,1,1,,
1438862703746076674,1,0,0,,
1438857220209483782,1,1,0,,
1438853739042021376,1,1,0,,
1438843034498633731,0,0,0,,
1438836801913905153,1,1,1,,
1438835487041523713,1,0,0,,
1438829568622800898,1,1,0,,
1438827598931537924,0,0,0,,
1438827186006396928,1,0,0,,
1438823964835557380,1,1,1,,
1438821559569879047,1,0,0,,
1438805581918314499,1,0,0,,
1438783952416817156,1,1,0,,
1438780002682785793,1,0,0,,
1438779389903347712,1,0,0,,
1438776299129016321,1,1,0,,
1438770935780229120,1,1,0,,
1438760202166312960,1,0,0,,
1438753623421423617,1,0,0,,
1438752921919832064,1,1,0,,
1438741870830657539,1,1,1,,
1438733725357969408,0,0,0,,
1438733273149157389,1,1,0,,
1438733057830293508,1,0,0,,
1438715213671329793,0,0,0,,
1438674019386118144,0,0,0,,
1438644433155678208,1,0,0,,
1438621234695135233,1,0,0,,
1438619811496534016,0,0,0,,
1438610767151079424,1,1,0,,
1438595094794342400,1,1,0,,
1438594139684286468,1,0,0,,
1438592137319403520,1,0,0,,
1438591524300861441,1,0,0,,
1438590029136371716,1,0,0,,
1438582332651413507,1,0,0,,
1438575933661851654,1,0,0,,
1438568700173488131,1,0,0,,
1438566964939706370,1,0,0,,
1438560666332368898,1,0,0,,
1438559158840741891,1,0,0,,
1438555875191427078,1,0,0,,
1438555874071613443,1,0,0,,
1438554832395190276,1,0,0,,
1438553109677154307,1,0,0,,
1438548170129264645,1,1,0,,
1438547979577798656,1,0,0,,
1438528715651231749,1,1,0,,
1438524861056360449,1,1,0,,
1438519198620131330,1,0,0,,
1438518283611697171,1,0,0,,
1438517142903615499,1,0,0,,
1438510886952464384,1,0,0,,
1438498837354582016,0,0,0,,
1438491979634122755,1,1,0,,
1438488949803081740,1,1,1,,
1438485455377477632,1,0,0,,
1438483079136481285,1,1,0,,
1438470650570678275,1,0,0,,
1438467191263973382,1,0,0,,
1438459367347605513,1,1,0,,
1438457895495086085,1,1,0,,
1438450121298096134,1,1,1,,
1438448393932746756,1,1,1,,
1438443538425974789,1,0,0,,
1438429738591268868,1,1,1,,
1438429233873838081,1,0,0,,
1438427760947568641,1,0,0,,
1438420999087788032,1,0,0,,
1438415196385693697,1,0,0,,
1438411894268760065,1,0,0,,
902312451525541889,1,1,0,0
902305206360264704,1,1,0,0
902293974425194498,1,1,0,0
902283106480152577,1,0,0,0
902278034018844675,1,0,0,0
902276997895917568,1,0,0,0
902270828909256705,0,0,0,0
902268962154655745,1,1,0,1
902268919825788934,1,0,0,0
902266958619459584,1,0,0,0
902255491753156610,1,1,0,0
902252010879246337,1,1,0,0
902247010685865984,1,0,0,0
902241120322707456,0,0,0,0
902240944900243456,1,0,0,0
902221938134831104,1,1,1,0
902215142984876032,0,0,0,0
902210617762873345,1,0,0,0
902209816587796480,1,0,0,0
902198879617253376,1,1,0,0
902198484446703616,0,0,0,0
902194822341124096,0,0,0,0
902182797602942977,1,0,0,0
902180181900701696,1,1,0,0
902175730569707520,0,0,0,0
902173909474258944,1,1,0,0
902172740559527936,1,0,0,0
902168238175510528,0,0,0,0
902151786450087937,1,1,0,0
902148534761168896,1,1,1,0
902147278307250176,1,1,0,0
902146590890184708,1,1,0,0
902134273829998593,0,0,0,0
902133660949807108,1,1,0,1
902128376055521280,1,0,0,0
902127360652267520,1,1,1,1
902126449221672961,1,1,1,0
902124699051839488,1,1,0,0
902122158662541317,1,0,0,0
902120974522441728,1,1,1,1
902096860541804544,1,1,0,0
902095845755117568,1,1,0,0
902095057469153280,1,0,0,0
902090491742867457,1,1,1,0
902089371737837568,1,1,0,0
902087554614353920,1,1,0,0
902087117081374720,1,1,0,1
902086787606118400,1,0,0,0
902086048649551872,1,1,0,0
902084420898840576,1,1,0,0
902080926389338112,1,1,0,0
902074798087573504,1,1,1,1
902074108376223744,1,1,0,0
902070068279947265,1,1,1,1
902069800804995076,1,1,0,0
902066571430035456,1,1,0,1
902065728324591616,1,1,0,0
902058963147083776,1,1,0,0
902052364831641600,1,1,0,0
902051516567232512,1,1,1,1
902047043954384896,1,1,0,1
902042411563700224,1,0,0,0
902041745256415232,1,1,0,1
902037030611374081,1,0,0,0
902030202154438661,1,1,0,0
902024692185403392,1,1,1,1
902012314458738688,1,0,0,0
901963564943941632,1,1,1,0
901951938069188609,1,1,1,0
901951755000438784,1,0,0,0
901928500931768321,1,1,1,0
901909010760306693,1,1,0,0
901906111225352192,1,0,0,0
901901750919102464,1,1,0,0
901896955835682816,1,1,1,1
901895859562061825,1,1,0,0
901895649913970688,1,1,1,1
901891897148534784,1,1,0,1
901882799359217665,0,0,0,0
901876476919808000,0,0,0,0
901875944608206849,1,1,1,0
901871203182272512,1,0,0,0
901849075301195776,1,1,0,0
901844176664440833,1,1,1,1
901844137347043328,1,0,0,0
901843248922198016,1,1,1,0
901843248796356608,1,1,1,0
901841337770803201,1,0,0,0
901827326807289856,1,0,0,0
901826628308885506,1,1,0,1
901823590185799680,1,1,0,0
901821127898619905,1,1,0,0
901800163286634496,1,0,0,0
901785876291661825,0,0,0,0
901784893490962433,0,0,0,0
901769883033239553,1,1,1,1
901756732438958080,1,1,0,0
901747157761445888,0,0,0,0
901735976367788033,1,1,0,1
901730476368556034,1,0,0,0
1421596707448557569,1,0,0,,
1421592972873842696,1,1,1,,
1421590064581287938,1,0,0,,
1421588103471538178,1,1,0,,
1421583982454616071,1,1,0,,
1421582956481507328,1,1,0,,
1421581640598499339,1,0,0,,
1421576622243815429,1,1,1,,
1421572219281444865,1,0,0,,
1421571479838380033,1,1,0,,
1421562836392763395,0,0,0,,
1421561904389140483,1,1,0,,
1421561103469920256,1,1,0,,
1421558562631954434,1,0,0,,
1421557342676656128,1,1,0,,
1421556002105794569,1,0,0,,
1421552743706202115,1,1,0,,
1421547035640139778,0,0,0,,
1421543978764279811,1,0,0,,
1421539724272017412,1,0,0,,
1421532554386083843,0,0,0,,
1421528878540017664,1,0,0,,
1421528525551644679,1,1,1,,
1421527650154205186,1,1,0,,
1421526106428125191,1,0,0,,
1421523835694817285,1,0,0,,
1421520893738639365,1,1,1,,
1421518524535738370,1,1,0,,
1421518483196682249,1,1,1,,
1421513256628330502,1,0,0,,
1421509259330789383,1,0,0,,
1421508443484168192,1,0,0,,
1421507241346314243,1,0,0,,
1421505300067233798,1,1,0,,
1421504772314705926,1,1,0,,
