conversation_id,created_at,edit_controls,edit_history_tweet_ids,entities,id,lang,media,public_metrics,reply_settings,text,user,referenced_tweets,in_reply_to_user_id,context_annotations,place,text_raw,text_translated,softmax,predicted_label,tokens,locations,swedish_locations
1427519497238458390,2021-08-17T06:35:44.000Z,"{'editable_until': '2021-08-17 07:05:44+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427519497238458390'],"{'hashtags': [{'end': 97, 'start': 88, 'tag': 'UAkommun'}, {'end': 108, 'start': 98, 'tag': 'Uddevalla'}, {'end': 120, 'start': 109, 'tag': 'Ljungskile'}], 'urls': [{'display_url': 'uddevalla.se/5.46d8493f17b5…', 'end': 87, 'expanded_url': 'https://www.uddevalla.se/5.46d8493f17b51ee8f3de.html', 'start': 64, 'status': 200, 'unwound_url': 'https://www.uddevalla.se/5.46d8493f17b51ee8f3de.html', 'url': 'https://t.co/3GlphvDKci'}]}",1427519497238458390,sv,,"{'impression_count': 0, 'like_count': 1, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,like county boards flood risk management plan,"{'created_at': '2009-09-04T12:31:05.000Z', 'description': 'Följ våra nyheter och annat som är på gång i #Uddevalla #UAkommun\n\nLäs om hur Uddevalla kommun behandlar dina personuppgifter på https://t.co/CP5i4VREKE', 'entities': {'description': {'hashtags': [{'end': 55, 'start': 45, 'tag': 'Uddevalla'}, {'end': 65, 'start': 56, 'tag': 'UAkommun'}], 'urls': [{'display_url': 'uddevalla.se/personuppgifter', 'end': 152, 'expanded_url': 'http://uddevalla.se/personuppgifter', 'start': 129, 'url': 'https://t.co/CP5i4VREKE'}]}, 'url': {'urls': [{'display_url': 'uddevalla.se', 'end': 22, 'expanded_url': 'http://www.uddevalla.se', 'start': 0, 'url': 'http://t.co/rdq9NHOL2L'}]}}, 'id': '71523028', 'location': '#Uddevalla #Ljungskile', 'name': 'Uddevalla kommun', 'profile_image_url': 'https://pbs.twimg.com/profile_images/458861024142041088/9pVskTj7_normal.jpeg', 'protected': False, 'url': 'http://t.co/rdq9NHOL2L', 'username': 'Uddevallakommun', 'verified': False}",,,,,Tyck till om länsstyrelsens riskhanteringsplan för översvämning https://t.co/3GlphvDKci #UAkommun #Uddevalla #Ljungskile,Like the county board's flood risk management plan https://t.co/3GlphvDKci #UAkommun #Uddevalla #Ljungskile,0.94300175,1,"[{'entity': 'ORG', 'score': 0.99885094, 'index': 4, 'word': 'länsstyrelsens', 'start': 13, 'end': 27}]",{},{}
1427521011390591023,2021-08-17T06:41:45.000Z,"{'editable_until': '2021-08-17 07:11:45+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427521011390591023'],"{'hashtags': [{'end': 58, 'start': 50, 'tag': 'Turkiet'}, {'end': 68, 'start': 62, 'tag': 'svpol'}], 'urls': [{'display_url': 'svt.se/nyheter/utrike…', 'end': 92, 'expanded_url': 'https://www.svt.se/nyheter/utrikes/minst-fyra-doda-efter-kraftiga-oversvamningar-i-turkiet', 'start': 69, 'status': 200, 'unwound_url': 'https://www.svt.se/nyheter/utrikes/minst-fyra-doda-efter-kraftiga-oversvamningar-i-turkiet', 'url': 'https://t.co/K6kLRmxQdw'}]}",1427521011390591023,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 1, 'retweet_count': 0}",everyone,death toll rises turkish floods ,"{'created_at': '2015-08-31T04:37:21.000Z', 'description': '“The secret of freedom lies in educating people, whereas the secret of tyranny is in keeping them ignorant.“ - Maximilien Robespierre. 1758 - 1794', 'entities': {'url': {'urls': [{'display_url': 'bookfacet.wordpress.com/2019/03/04/tid…', 'end': 23, 'expanded_url': 'https://bookfacet.wordpress.com/2019/03/04/tidskapsel/', 'start': 0, 'url': 'https://t.co/R31o3X8vrR'}]}}, 'id': '3498200483', 'location': 'Sverige', 'name': 'Egalitmus🌱 🇸🇪', 'pinned_tweet_id': '825214996724510720', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1016888290673381381/7ZM_kaWr_normal.jpg', 'protected': False, 'url': 'https://t.co/R31o3X8vrR', 'username': 'bookfacet', 'verified': False}",,,,,"1)
""Dödssiffran stiger i turkiska översvämningar""
#Turkiet 
🙏
#svpol
https://t.co/K6kLRmxQdw","1)
""Death toll rises in Turkish floods""
#Turkey
🙏
#svpol
https://t.co/K6kLRmxQdw",0.944273,1,[],{},{}
1427522720036646916,2021-08-17T06:48:33.000Z,"{'editable_until': '2021-08-17 07:18:33+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427522720036646916'],"{'urls': [{'display_url': 'vf.se/2021/08/17/jus…', 'end': 74, 'expanded_url': 'https://www.vf.se/2021/08/17/just-nu-oversvamning-i-villa-stora-mangder-regn/?utm_source=dlvr.it&utm_medium=twitter', 'start': 51, 'status': 200, 'unwound_url': 'https://www.vf.se/2021/08/17/just-nu-oversvamning-i-villa-stora-mangder-regn/?utm_source=dlvr.it&utm_medium=twitter', 'url': 'https://t.co/Dz1uZBW2NI'}]}",1427522720036646916,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,flooding villa large amounts rain,"{'created_at': '2009-12-17T10:38:20.000Z', 'description': 'https://t.co/PPAtNr5T7m hjälper dig att hålla koll på vad som händer i Värmland just nu. Är det något du tycker att vi missat? Tipsa oss gärna!\nSporten twittrar på @VFSPORTEN', 'entities': {'description': {'mentions': [{'end': 174, 'start': 164, 'username': 'VFSPORTEN'}], 'urls': [{'display_url': 'vf.se', 'end': 23, 'expanded_url': 'http://vf.se', 'start': 0, 'url': 'https://t.co/PPAtNr5T7m'}]}, 'url': {'urls': [{'display_url': 'vf.se', 'end': 23, 'expanded_url': 'http://vf.se', 'start': 0, 'url': 'https://t.co/PPAtNr5T7m'}]}}, 'id': '97414123', 'location': 'Sweden', 'name': 'Värmlands Folkblad', 'profile_image_url': 'https://pbs.twimg.com/profile_images/437831980504612864/jk-S_axO_normal.jpeg', 'protected': False, 'url': 'https://t.co/PPAtNr5T7m', 'username': 'VF_se', 'verified': False}",,,,,JUST NU: Översvämning i villa – stora mängder regn https://t.co/Dz1uZBW2NI,JUST NOW: Flooding in villa - large amounts of rain https://t.co/Dz1uZBW2NI,0.9469965,1,[],{},{}
1427524115963858945,2021-08-17T06:54:06.000Z,"{'editable_until': '2021-08-17 07:24:06+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427524115963858945'],"{'hashtags': [{'end': 91, 'start': 75, 'tag': 'brottochblåljus'}, {'end': 101, 'start': 92, 'tag': 'värmland'}], 'urls': [{'display_url': 'nwt.se/2021/08/17/jus…', 'end': 74, 'expanded_url': 'https://www.nwt.se/2021/08/17/just-nu-oversvamning-i-villa-stora-mangder-regn/?utm_source=dlvr.it&utm_medium=twitter', 'start': 51, 'url': 'https://t.co/kvJz0BvQlf'}]}",1427524115963858945,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,right flooding villa large amounts rain,"{'created_at': '2009-04-25T12:13:42.000Z', 'description': 'Följ senaste nytt från nwt.se här via Twitter!', 'entities': {'url': {'urls': [{'display_url': 'nwt.se', 'end': 23, 'expanded_url': 'http://nwt.se', 'start': 0, 'url': 'https://t.co/9ek0JtuRp4'}]}}, 'id': '35198893', 'location': 'Karlstad, Sweden', 'name': 'NWT', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1575848500667060224/NuqBD_pC_normal.jpg', 'protected': False, 'url': 'https://t.co/9ek0JtuRp4', 'username': 'nwtse', 'verified': False}",,,,,JUST NU: Översvämning i villa – stora mängder regn https://t.co/kvJz0BvQlf #brottochblåljus #värmland,RIGHT NOW: Flooding in villa - large amounts of rain https://t.co/kvJz0BvQlf #brottochblåljus #värmland,0.94775766,1,[],{},{}
1427498769071976467,2021-08-17T07:04:06.000Z,"{'editable_until': '2021-08-17 07:34:06+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427526633938989086'],"{'mentions': [{'end': 9, 'id': '578090036', 'start': 0, 'username': 'HALLONSA'}, {'end': 25, 'id': '2508888245', 'start': 10, 'username': 'andersarnamnet'}]}",1427526633938989086,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,environmental refugees fleeing country extreme drought floods permanent earthquakes,"{'created_at': '2015-07-17T11:44:11.000Z', 'description': '', 'id': '3380279194', 'location': 'Skellefteå Sverige', 'name': 'Katarina Brännström', 'pinned_tweet_id': '996297177495457792', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1286567125121929216/eoMojC6i_normal.jpg', 'protected': False, 'username': 'katarina19623', 'verified': False}","[{'id': '1427498769071976467', 'type': 'replied_to'}]",578090036.0,,,"@HALLONSA @andersarnamnet Vi har nu framöver miljöflyktingar som flyr sitt land på grund av extrem torka, översvämningar och permanenta jordbävningar.","@HALLONSA @andersarnamnet We now have environmental refugees fleeing their country due to extreme drought, floods and permanent earthquakes.",0.9428688,1,"[{'entity': 'TME', 'score': 0.99444664, 'index': 3, 'word': 'nu', 'start': 11, 'end': 13}]",{},{}
1427530160778194958,2021-08-17T07:48:14.000Z,"{'editable_until': '2021-08-17 08:18:14+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427537742708318208'],"{'mentions': [{'end': 10, 'id': '248216466', 'start': 0, 'username': 'Tjockkaft'}]}",1427537742708318208,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 1, 'retweet_count': 0}",everyone,im going later today looks like flooding dare park garage,"{'created_at': '2011-08-06T13:05:25.000Z', 'description': 'Associate Professor of History, researching medieval history and medievalism, especially vikings! OdT TAFMOTG. Scottish single malt whisky fan. Enjoys SciFi.', 'entities': {'url': {'urls': [{'display_url': 'mau.se', 'end': 23, 'expanded_url': 'http://www.mau.se', 'start': 0, 'url': 'https://t.co/nYvDlx69ai'}]}}, 'id': '349645680', 'location': 'Lund, Sweden', 'name': 'Thomas Småberg 🏰🐉🌊', 'pinned_tweet_id': '439380012064448512', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1188084751082708994/-MiTCDWX_normal.jpg', 'protected': False, 'url': 'https://t.co/nYvDlx69ai', 'username': 'ThomasSmaberg', 'verified': False}","[{'id': '1427530160778194958', 'type': 'replied_to'}]",248216466.0,,,"@Tjockkaft jag ska åka in senare idag, men detta ser ju ut som översvämning. Vågar man parkera i garaget tror du?","@Tjockkaft I'm going in later today, but this looks like flooding. Do you dare to park in the garage?",0.9432609,1,"[{'entity': 'TME', 'score': 0.93358546, 'index': 5, 'word': 'senare', 'start': 17, 'end': 23}, {'entity': 'TME', 'score': 0.99960655, 'index': 6, 'word': 'idag', 'start': 24, 'end': 28}]",{},{}
1427184103309430785,2021-08-17T08:07:37.000Z,"{'editable_until': '2021-08-17 08:37:37+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427542617093517328'],"{'mentions': [{'end': 9, 'id': '501016344', 'start': 0, 'username': 'i_ingela'}]}",1427542617093517328,sv,,"{'impression_count': 0, 'like_count': 1, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,yes important eye neighbor flood year clogged birch seeds,"{'created_at': '2011-04-20T05:30:15.000Z', 'description': 'Informatör med stort intresse för hälsofrågor. \nAndra intressen är natur, odling och fiske.', 'id': '284907856', 'location': 'Sverige', 'name': 'Maria Jonsson', 'pinned_tweet_id': '1012230993279967233', 'profile_image_url': 'https://pbs.twimg.com/profile_images/725326149165932544/UO2TE6lW_normal.jpg', 'protected': False, 'username': 'MariaJonsson1', 'verified': False}","[{'id': '1427542170639216657', 'type': 'replied_to'}]",501016344.0,,,@i_ingela Ja det gäller att hålla koll på brunnen. Grannen fick översvämning ett år när brunnen blivit igentäppt av björkfrön.,"@i_ingela Yes, it's important to keep an eye on the well. The neighbor had a flood one year when the well became clogged with birch seeds.",0.9347112,1,"[{'entity': 'TME', 'score': 0.99964297, 'index': 16, 'word': 'ett', 'start': 69, 'end': 72}, {'entity': 'TME', 'score': 0.99961096, 'index': 17, 'word': 'år', 'start': 73, 'end': 75}]",{},{}
1427544515909464106,2021-08-17T08:15:09.000Z,"{'editable_until': '2021-08-17 08:45:09+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427544515909464106'],"{'mentions': [{'end': 12, 'id': '15945285', 'start': 0, 'username': 'sydsvenskan'}]}",1427544515909464106,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,seen pictures malmö risk flooding canal central station,"{'created_at': '2011-08-06T13:05:25.000Z', 'description': 'Associate Professor of History, researching medieval history and medievalism, especially vikings! OdT TAFMOTG. Scottish single malt whisky fan. Enjoys SciFi.', 'entities': {'url': {'urls': [{'display_url': 'mau.se', 'end': 23, 'expanded_url': 'http://www.mau.se', 'start': 0, 'url': 'https://t.co/nYvDlx69ai'}]}}, 'id': '349645680', 'location': 'Lund, Sweden', 'name': 'Thomas Småberg 🏰🐉🌊', 'pinned_tweet_id': '439380012064448512', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1188084751082708994/-MiTCDWX_normal.jpg', 'protected': False, 'url': 'https://t.co/nYvDlx69ai', 'username': 'ThomasSmaberg', 'verified': False}",,15945285.0,,,"@sydsvenskan Har sett bilder från Malmö, är det risk för översvämning vid kanalen vid Centralstationen?","@sydsvenskan Have seen pictures from Malmö, is there a risk of flooding by the canal at the Central Station?",0.9469681,1,"[{'entity': 'LOC', 'score': 0.9993849, 'index': 5, 'word': 'Malmö', 'start': 23, 'end': 28}, {'entity': 'LOC', 'score': 0.9991385, 'index': 16, 'word': 'Centralstationen', 'start': 75, 'end': 82}]","{'Malmö': {'ner_score': 0.9993849, 'swedish_loc_info': {'place_id': 299358575, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 10663667, 'boundingbox': ['55.5479606', '55.6520233', '12.9109073', '13.1295052'], 'lat': '55.6052931', 'lon': '13.0001566', 'display_name': 'Malmo, Malmö kommun, Skåne County, Sweden', 'class': 'boundary', 'type': 'administrative', 'importance': 0.7356626598338024, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png', 'extratags': {'place': 'city', 'capital': '4', 'ref:BEF': '301706', 'ref:KKOD': '4', 'wikidata': 'Q2211', 'ref:TATNR': '3604', 'wikipedia': 'sv:Malmö', 'population': '316588', 'ref:se:scb': '3604', 'linked_place': 'city', 'ref:KATEGORI': 'Tätort', 'ref:se:pts:postort': 'MALMÖ'}}}, 'Centralstationen': {'ner_score': 0.9991385, 'swedish_loc_info': {'place_id': 12497887, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 1277542353, 'boundingbox': ['57.7076579', '57.7077579', '11.9731249', '11.9732249'], 'lat': '57.7077079', 'lon': '11.9731749', 'display_name': 'Centralstationen, Stampgatan, North Town, Inom Vallgraven, Centrum, Gothenburg, Göteborgs Stad, Västra Götaland County, 401 25, Sweden', 'class': 'railway', 'type': 'tram_stop', 'importance': 0.11010000000000002, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_tram_stop.p.20.png', 'extratags': {'bus': 'yes', 'tram': 'yes', 'network': 'Västtrafik', 'local_ref': 'D', 'network:wikidata': 'Q928178', 'public_transport': 'stop_position', 'network:wikipedia': 'sv:Västtrafik'}}}}","{'Malmö': {'ner_score': 0.9993849, 'swedish_loc_info': {'place_id': 299358575, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 10663667, 'boundingbox': ['55.5479606', '55.6520233', '12.9109073', '13.1295052'], 'lat': '55.6052931', 'lon': '13.0001566', 'display_name': 'Malmo, Malmö kommun, Skåne County, Sweden', 'class': 'boundary', 'type': 'administrative', 'importance': 0.7356626598338024, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png', 'extratags': {'place': 'city', 'capital': '4', 'ref:BEF': '301706', 'ref:KKOD': '4', 'wikidata': 'Q2211', 'ref:TATNR': '3604', 'wikipedia': 'sv:Malmö', 'population': '316588', 'ref:se:scb': '3604', 'linked_place': 'city', 'ref:KATEGORI': 'Tätort', 'ref:se:pts:postort': 'MALMÖ'}}}, 'Centralstationen': {'ner_score': 0.9991385, 'swedish_loc_info': {'place_id': 12497887, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 1277542353, 'boundingbox': ['57.7076579', '57.7077579', '11.9731249', '11.9732249'], 'lat': '57.7077079', 'lon': '11.9731749', 'display_name': 'Centralstationen, Stampgatan, North Town, Inom Vallgraven, Centrum, Gothenburg, Göteborgs Stad, Västra Götaland County, 401 25, Sweden', 'class': 'railway', 'type': 'tram_stop', 'importance': 0.11010000000000002, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/transport_tram_stop.p.20.png', 'extratags': {'bus': 'yes', 'tram': 'yes', 'network': 'Västtrafik', 'local_ref': 'D', 'network:wikidata': 'Q928178', 'public_transport': 'stop_position', 'network:wikipedia': 'sv:Västtrafik'}}}}"
1427546514847641620,2021-08-17T08:23:06.000Z,"{'editable_until': '2021-08-17 08:53:06+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427546514847641620'],"{'urls': [{'display_url': 'hbl.fi/artikel/i-kval…', 'end': 206, 'expanded_url': 'https://www.hbl.fi/artikel/i-kvall-toms-20-miljoner-ambar-vatten-over-helsingfors-finns-en-risk-for-oversvamningar/', 'start': 183, 'status': 200, 'unwound_url': 'https://www.hbl.fi/artikel/b8f05aeb-d590-456a-a174-4af24bbbac38', 'url': 'https://t.co/NRWIxUbO6C'}]}",1427546514847641620,sv,,"{'impression_count': 0, 'like_count': 1, 'quote_count': 1, 'reply_count': 0, 'retweet_count': 0}",everyone,rain expected today normal entire month risk flooding watch traffic says meteorologist jani parviainen,"{'created_at': '2009-02-02T10:50:25.000Z', 'description': 'Stolt dagstidning, över 150 år gammal. Proud daily newspaper, over 150 years old. Har du frågor om våra produkter? Här hittar du svar: https://t.co/1mhKLJaG1x', 'entities': {'description': {'urls': [{'display_url': 'hbl.fi/info', 'end': 158, 'expanded_url': 'http://hbl.fi/info', 'start': 135, 'url': 'https://t.co/1mhKLJaG1x'}]}, 'url': {'urls': [{'display_url': 'hbl.fi', 'end': 22, 'expanded_url': 'http://www.hbl.fi', 'start': 0, 'url': 'http://t.co/VdEVK3dLcg'}]}}, 'id': '19901424', 'location': 'Helsingfors, Finland', 'name': 'Hufvudstadsbladet', 'profile_image_url': 'https://pbs.twimg.com/profile_images/718378674274353152/9112vyRY_normal.jpg', 'protected': False, 'url': 'http://t.co/VdEVK3dLcg', 'username': 'hblwebb', 'verified': True}",,,,,"Den regnmängd som väntas i dag är normal för en hel månad. ""Ställvis finns det risk för översvämningar så framför allt bör man se upp i trafiken"", säger meteorologen Jani Parviainen. https://t.co/NRWIxUbO6C","The amount of rain expected today is normal for an entire month. ""Sometimes there is a risk of flooding, so above all you should watch out for traffic,"" says meteorologist Jani Parviainen. https://t.co/NRWIxUbO6C",0.9498579,1,"[{'entity': 'TME', 'score': 0.99970895, 'index': 6, 'word': 'i', 'start': 25, 'end': 26}, {'entity': 'TME', 'score': 0.9997427, 'index': 7, 'word': 'dag', 'start': 27, 'end': 30}, {'entity': 'PER', 'score': 0.99989045, 'index': 37, 'word': 'Jani', 'start': 166, 'end': 169}, {'entity': 'PER', 'score': 0.9998412, 'index': 39, 'word': 'Parviainen', 'start': 171, 'end': 174}]",{},{}
1427548719063437312,2021-08-17T08:31:51.000Z,"{'editable_until': '2021-08-17 09:01:51+00:00', 'edits_remaining': 5, 'is_edit_eligible': True}",['1427548719063437312'],,1427548719063437312,sv,,"{'impression_count': 0, 'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",everyone,year half pandemic forest fires floods worldwide ipcc releases gloomiest report swedes tinder 🤩 ✈️️️️♥️,"{'created_at': '2013-03-22T07:35:33.000Z', 'description': 'Anarkist. Kommunist. Offpist. \n\nMastodon: @owallstromer@kolektiva.social\nInstagram: skalman.wallstromer', 'id': '1288021632', 'name': 'Skalman', 'pinned_tweet_id': '1171532139512250372', 'profile_image_url': 'https://pbs.twimg.com/profile_images/1298221025575002112/3s2dVaTR_normal.jpg', 'protected': False, 'username': 'owallstromer', 'verified': False}",,,"[{'domain': {'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'id': '30', 'name': 'Entities [Entity Service]'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'description': 'Brands and Companies', 'id': '47', 'name': 'Brand'}, 'entity': {'id': '1220824190619545601', 'name': 'Tinder'}}]",,"Ett och ett halvt års pandemi. Skogsbränder och översvämningar världen över, IPCC släpper sin dystraste rapport någonsin. 

Svenskar på tinder: 
🤩 ✈️🏝️🏖️🛍️♥️","A year and a half pandemic. Forest fires and floods worldwide, the IPCC releases its gloomiest report ever.

Swedes on Tinder:
🤩 ✈️🏝️🏖️🛍️♥️",0.9451845,1,"[{'entity': 'TME', 'score': 0.9982022, 'index': 1, 'word': 'Ett', 'start': 0, 'end': 3}, {'entity': 'TME', 'score': 0.9973563, 'index': 2, 'word': 'och', 'start': 4, 'end': 7}, {'entity': 'TME', 'score': 0.99910647, 'index': 3, 'word': 'ett', 'start': 8, 'end': 11}, {'entity': 'TME', 'score': 0.9989197, 'index': 4, 'word': 'halvt', 'start': 12, 'end': 17}, {'entity': 'TME', 'score': 0.9979184, 'index': 5, 'word': 'års', 'start': 18, 'end': 21}, {'entity': 'ORG', 'score': 0.9990971, 'index': 18, 'word': 'IPCC', 'start': 77, 'end': 79}]",{},{}
