,Unnamed: 0,id,raw_text,mentions_location,text,relevant,mentions_impact,tokens,locations
0,0,902305206360264704,"Översvämningar i Lousiana. Måste vara Trumps fel.
Ja, mycket riktigt.
https://t.co/aFPNj2V9PO #svpol",0,flooding louisiana must trumps fault yes true svpol,1,0,"[{'entity': 'LOC', 'score': 0.98070866, 'index': 5, 'word': 'Lousiana', 'start': 17, 'end': 20}, {'entity': 'PER', 'score': 0.9902097, 'index': 11, 'word': 'Trumps', 'start': 38, 'end': 44}]","{'Lousiana': {'ner_score': 0.98070866, 'swedish_loc_info': {}}}"
1,1,902293974425194498,@Redtreborswe @Jagarchefen Just översvämning måste vara hyfsat svårplanerad? 😃,0,just flooding pretty difficult plan ,1,0,[],{}
2,6,902268962154655745,30 000 hemlösa efter översvämningar men det värsta av allt Höglandskändis sitter fast på flygplats https://t.co/aZxfYVU1rD,0, homeless floods worst highland celebrity stuck airport,1,1,[],{}
3,9,902255491753156610,Handelsunderskott och översvämningar så långt på presidentmötet i Vita huset. https://t.co/jOeTJ2Tn89,0,trade deficit floods far white house presidential meeting,1,0,"[{'entity': 'LOC', 'score': 0.9990287, 'index': 12, 'word': 'Vita', 'start': 66, 'end': 70}, {'entity': 'LOC', 'score': 0.9988159, 'index': 13, 'word': 'huset', 'start': 71, 'end': 76}]","{'Vita': {'ner_score': 0.9990287, 'swedish_loc_info': {'place_id': 19718459, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 2235762052, 'boundingbox': ['65.9068121', '65.9468121', '22.4066368', '22.4466368'], 'lat': '65.9268121', 'lon': '22.4266368', 'display_name': 'Vitå, Luleå kommun, Norrbotten County, Sweden', 'class': 'place', 'type': 'village', 'importance': 0.275, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png', 'extratags': {'ref:se:pts:postort': 'VITÅ'}}}, 'huset': {'ner_score': 0.9988159, 'swedish_loc_info': {'place_id': 78136336, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 7442669496, 'boundingbox': ['58.523391', '58.563391', '11.458889', '11.498889'], 'lat': '58.543391', 'lon': '11.478889', 'display_name': 'Huset, Tanums kommun, Västra Götaland County, 457 43, Sweden', 'class': 'place', 'type': 'hamlet', 'importance': 0.35, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png', 'extratags': {}}}}"
4,10,902252010879246337,När USA och övriga världen röstar som man gör blir de översvämningar. Känner mycket för denna hunden som befinner sig mitt i Harvey kaoset. https://t.co/QmU7D3Vwd6,0,when us rest world vote way do floods feel lot dog middle harvey chaos,1,0,"[{'entity': 'LOC', 'score': 0.99956614, 'index': 2, 'word': 'USA', 'start': 4, 'end': 7}, {'entity': 'PER', 'score': 0.9989818, 'index': 24, 'word': 'Harvey', 'start': 125, 'end': 131}]","{'USA': {'ner_score': 0.99956614, 'swedish_loc_info': {}}}"
5,14,902221938134831104,"Stormen i Houston är inte starkaste ens på 10 år, men starkaste i Houston sedan 1961. Översvämning beror bl.a. på bebyggda våtmarker... https://t.co/nVxamWXyhm",0,the storm houston strongest years strongest houston  flooding due things constructed wetlands…,1,0,"[{'entity': 'LOC', 'score': 0.9996623, 'index': 4, 'word': 'Houston', 'start': 10, 'end': 17}, {'entity': 'TME', 'score': 0.9979691, 'index': 9, 'word': 'på', 'start': 40, 'end': 42}, {'entity': 'TME', 'score': 0.9993155, 'index': 10, 'word': '10', 'start': 43, 'end': 45}, {'entity': 'TME', 'score': 0.9993383, 'index': 11, 'word': 'år', 'start': 46, 'end': 48}, {'entity': 'LOC', 'score': 0.9994562, 'index': 16, 'word': 'Houston', 'start': 66, 'end': 73}, {'entity': 'TME', 'score': 0.99937916, 'index': 17, 'word': 'sedan', 'start': 74, 'end': 79}, {'entity': 'TME', 'score': 0.99955124, 'index': 18, 'word': '1961', 'start': 80, 'end': 84}]","{'Houston': {'ner_score': 0.9994562, 'swedish_loc_info': {}}}"
6,18,902198879617253376,Det är vad jag kallar översvämning. https://t.co/WpgsLzSiit,0,thats i flooding,1,0,[],{}
7,22,902180181900701696,@NiklasGillstrom Vid översvämningar i Australien har hajar kommit in i sötvattenområden,0,flooding australia seen sharks enter freshwater areas,1,0,"[{'entity': 'LOC', 'score': 0.9992052, 'index': 4, 'word': 'Australien', 'start': 23, 'end': 33}]","{'Australien': {'ner_score': 0.9992052, 'swedish_loc_info': {}}}"
8,24,902173909474258944,"Texas har översvämning och tornadovarningar. Jag har redan sett filmerna—Sharknado och Sharknado 2: The Second One!
#harvey #texas",0,texas flood tornado warnings ive seen movies—sharknado sharknado  the second one harvey texas,1,0,"[{'entity': 'LOC', 'score': 0.99945503, 'index': 1, 'word': 'Texas', 'start': 0, 'end': 5}, {'entity': 'PER', 'score': 0.7487614, 'index': 17, 'word': 'Sharknado', 'start': 73, 'end': 78}, {'entity': 'PER', 'score': 0.79194677, 'index': 21, 'word': 'Sharknado', 'start': 87, 'end': 92}]","{'Texas': {'ner_score': 0.99945503, 'swedish_loc_info': {}}}"
9,27,902151786450087937,"En annan vinkel: idag har vi teknik att sprida bilderna globalt. Förekom översvämningar inte förr, bara för att vi inte såg dem?
#svpol https://t.co/SyF82bw2s7",0,another angle today technology spread images globally did floods happen before didnt them svpol,1,0,"[{'entity': 'TME', 'score': 0.9996138, 'index': 5, 'word': 'idag', 'start': 17, 'end': 21}, {'entity': 'TME', 'score': 0.76106644, 'index': 18, 'word': 'förr', 'start': 93, 'end': 97}]",{}
10,28,902148534761168896,"Värre översvämningar väntas: Regnet fortsätter vräka ned över Houston, där vattnet står meterhögt på många gator. https://t.co/NW97Aq2CV0 https://t.co/vHfUe5wbfc",0,worse flooding expected rain continues pour houston water stands meters high streets,1,0,"[{'entity': 'LOC', 'score': 0.99853754, 'index': 12, 'word': 'Houston', 'start': 62, 'end': 69}]","{'Houston': {'ner_score': 0.99853754, 'swedish_loc_info': {}}}"
11,29,902147278307250176,@magdarasmusson Du har noterat att man byggt vägarna i Houston som reservfloder för att hantera översvämningar?,0,you noticed built roads houston reserve rivers deal flooding,1,0,"[{'entity': 'LOC', 'score': 0.9995912, 'index': 9, 'word': 'Houston', 'start': 41, 'end': 48}]","{'Houston': {'ner_score': 0.9995912, 'swedish_loc_info': {}}}"
